,degree
3.lük,2
BÖTE Mezunu,2
İstatistik Bölümü Yüksek Lisans Mezunu,2
Açıköğretim Lisans,2
Master of Information Systems Engineering,2
okul 3.su,2
"MA, International Trade ",2
3.68/4,2
Uzay ve Uçak Bilimleri Fakültesi Mezunu,2
Yüks,2
Fen Edebiyat Fakültesi / Faculty of Science,2
Mühendislik Fakültesi / Faculty of Engineering,2
4.97,2
Develi Hüseyin Şahin Meslek Yüksekokulu,2
"Doktora (PhD), Elektronik ve Haberleşme Mühendisliği, Elektronik",2
3.86/4,2
83.7,2
Matematik Fen,2
Mühendislik Fakültesi/Faculty of Engineering,2
Lise (High School),2
Lisans (Bs),2
Yüksek Lisans (Ms),2
Not-Graduated,2
3.44/4.00,2
Geomatics Engineering,2
3.33 / 4.0,2
"""Mühendislik ve Mimarlık Fakültesi",2
Master of Science in Engineering - MScEng,2
Brevet Technicien Supérieur(BTS),2
Kontrol ve Otomasyon,2
Prep school,2
Halka İlişkiler ve Tanıtım,2
Master of Engineering (M.Eng.) Student,2
Master's degree ( Dropout ),2
Ortaokul-Lise,2
Bachelor's degree (BSc),2
Msc./PMP,2
Associate of Computer Programming,2
3.62/4.00 Lisans,2
4.92/5.00 High School,2
MicroMasters Program,2
"3,27",2
Tezli Yüksek Lisans-MSc Degree,2
Hebrew,2
Kadikoy Anadolu Lisesi,2
Faculty of Science-Department of Biology,2
The Graduate School of Engineering & Sciences - Department of Molecular Biology and Genetics,2
Prep School - English,2
4.07,2
Math & Science,2
Study Abroad (Erasmus+ Exchange Programme),2
Grad School,2
BE.,2
"3,2/4",2
Bachelor of Science in Engineering,2
General Staff,2
Switched Major,2
Studying,2
Makina Fakültesi,2
Bachelor of Math Engineering,2
Non-Degree Exchange Program (Erasmus+),2
CELTA ,2
Endüstriyel Elektronik,2
LILAC Tutor ,2
PTC Graduate,2
Minor programme,2
1st among 2008 graduate students in Kabataş Erkek High School based on OSS exam raw grade,2
Bootcamp,2
3.43/4.00,2
3.83/4.00,2
Naval Architecture and Marine Engineering,2
Summer school,2
3.00 / 4.00,2
3.53/4.00,2
graduate school,2
ELEKTRONİK MÜHENDİSLİĞİ,2
Teacher Trainee,2
Matematik Fen Bölümü Mezunu (İngilizce Hazırlık sınıfı dahil) 4yıl,2
"3,29",2
Adana Meslek Yüksek Okulu,2
PhD (Incomplete),2
Lisas,2
Full-Stack Development ,2
Cisco Certified (CCNP ENCOR),2
NanoDegree,2
Engineerig Faculty,2
Y,2
English Preliminary for Undergraduate,2
2.26,2
İşletme Fatültesi,2
Network Expert,2
2.07,2
"3,85",2
Açık Öğretim İşletme Fakültesi,2
Yalvaç Meslek Yüksek Okulu,2
Dok,2
Yüksek Lisans (Master) ,2
ön Lisans,2
Önlisans Mezunu,2
Technical Education Faculty Electronics,2
1st Rank of dept,2
licence degree,2
Lisans Derecesi Mezunu,2
Eğitim,2
3rd Rank,2
2nd Rank,2
ÖNLİSANS PROGRAMI(AÇIKÖĞRETİM),2
"78,00",2
fen bilimleri,2
Honour Student,2
Academic Minor,2
Diploma Notum : 66.41,2
Fen - Matematik,2
intern,2
Isparta Meslek Yüksekokulu,2
HPC-Europa3 visitor ,2
technology faculty/student,2
2nd Grade,2
"2,35",2
HBO,2
Pre-Advance (C1),2
Integrated PhD,2
Graduate ,2
2.19,2
Bilgisayar Mühendisliği Bölümünü Mezun,2
"2,4",2
Kastamonu MYO,2
4.73,2
Devam Ediyor,2
Astronomy and Space Science,2
"4,50",2
Bachelor of Science in Computer Engineering,2
College of Applied Sciences,2
Wissen Akademie,2
First school,2
Student of Science,2
Computer Engineering - Preparatory School,2
Two-Year Degree,2
üstün başarı,2
Erasmus for studies,2
Ortaokul ve Lise,2
Graduated Student,2
Full Stack Developer,2
Diploma of Education,2
Business Administration (BBA),2
"3, 85",2
IGCSE - O Levels,2
Computer Science (CS),2
First Graduate Degree,2
Business,2
PROFESSIONAL TRAINING FACULTY,2
COMPUTER SCIENCES FACULTY,2
INFORMATICS AND COMPUTER SCIENCES FACULTY,2
Erasmus Programme Student,2
"3,55",2
"3,71",2
Doctor of Philosophy (PhD) (Dropped Out),2
Computer Science (ERASMUS),2
Master's Program - Management Information Systems and Engineering (English),2
Lisance,2
Bachelor degree 4 / 3.02,2
Master of Science (M.Sc.) in Electronics Engineering,2
English (C1-C2) ,2
Tow-Year Degree 4 / 3.11,2
staj,2
"2,86",2
"3,02 / 4",2
BSBA,2
ANADOLU TEKNİK LİSESİ,2
"Intermediate, 중급",2
Summer Semester,2
Formasyon ,2
Nitelikli Bilişim Uzmanı Yetiştirme Programı - Yazılım Geliştirici (%100 Burslu) 800 saat,2
bilgisayar programcılığı mezunu,2
Architecture of Complex Systems,2
Master of Science in Information Systems (MSIS),2
3th,2
Vocational Degree,2
Graduate Of The FACULTY Of ECONOMIC And ADMINISTRATIVE SCIENCES,2
 bachelor's degree,2
"Dropped Out, Bachelor's degree",2
Bachelor's degree(Full Scholarship),2
AUZEF Bachelor's degree,2
Very Good,2
Adalet ,2
Master of Science(MSc),2
"2,58 / 4,0",2
93.30,2
2.86 / 4,2
World  exchange study ,2
Vocational High School of Technical Science,2
Master of Science in Information Technology,2
Cambridge Assessment International Education ,2
Systems Engineering,2
3.60/4           Second Place,2
Computer Technology and Information Systems -CTIS,2
2015' M.Sc,2
73.41,2
"Master of Science(MSc), Computer Software Engineering",2
Sosyal Bilimler Fakültesi,2
Anadolu Bölümü,2
Computer Engineering Master`s Degree,2
2012' B.Sc,2
Transferred,2
Dropped,2
Accountant,2
69 / 100,2
EXECUTIVE MBA,2
Secondary School & High School,2
Computer engineer,2
3.94/4.00,2
"4,35/5.00",2
77.8/100,2
Lisans Derecesi 3.35\4.00,2
sayısal,2
Bölümde ilk 10'da,2
Front End Development Certification,2
MSC - Thesis,2
"92,2 /100",2
3.04/4.00,2
73.6/100,2
Office Management ,2
Post Education,2
Tech.,2
M.Sc ,2
Computer Technology and Information Systems,2
3.17/4.00,2
"4,73 / 5",2
ENDÜSTRİYEL ELEKTRONİK,2
Megatronik,2
Foreign Language Certificate,2
Student at Buiseness Faculty ,2
2.93/4.00,2
Tezsiz Yüksek Lisans Özel Öğrenci,2
"Bachelor's degree""",2
M.A,2
"3,07",2
81.34  / 100,2
Erasmus+ Program,2
CCNP,2
B.S. Degree in Computer Engineering,2
Executive MBA (Mini),2
Master's degree (diploma supplement),2
Mühendislik Öğrencisi,2
Erasmus Plus exchange program student,2
"Other, Certificate in Entrepreneurship Essentials",2
BM,2
Advanced Level Certificate,2
Mühendisli Mimarlık Fakültesi,2
Bilgisayar Mühendisi mezunu,2
Erasmus +,2
Bölüm 3.lüğü,2
Turizm ve otel işletmeciliği,2
Computer Science Master's Program,2
3.74/4,2
Barchelor's Degree,2
"Lisans Derecesi, Çift Anadal",2
High School of Science,2
"2,54",2
Integrated Ph.D.,2
Okul 1.si,2
Science & Math,2
Lycée,2
Distance Education Master of Business Administration (E-MBA),2
3.58,2
"2,96",2
Ranking first among the class of 2005,2
Semester abroad,2
3.89/4.00,2
"3,67/4.0",2
3.21/4.00,2
Pedogojik Formasyon Eğitimi,2
"Master of Business Administration, MBA",2
Doctor of Philosophy - PhD candidate,2
4.94/5,2
3.91/4.00,2
3.41/4,2
 (Master Degree),2
Private High School,2
3.3/4,2
Double Major Bachelor,2
X,2
Leadership and Strategy,2
"Graduate, MBA",2
Graduated With Top Rank in Class,2
MBA degree,2
M.Ed,2
MicroMasters,2
"Visiting Scholar, Full Scholarship",2
Master’s Degree Program with Thesis,2
Bachelor’s Degree ,2
"Bachelor's degree, 3.47 GPA",2
"3,36",2
BS (3.60/4.00),2
Under-graduate,2
Bachelor's degree - BS,2
81/100,2
MS (3.44/4.00),2
Communication and Design,2
Ereğli Meslek Yüksekokulu,2
2.81 / 4.00,2
Lisans derecesi,2
"2,55",2
ERASMUS+ Exchange Studentship Certificate,2
Yüksekokul Mezunu - Upper Secondary Education,2
Teknik Eğitim Fakültesi Elektronik ve Bilgisayar Eğitimi,2
3.01 / 4,2
sosyal bilimler,2
Sağlık Bilimleri Fakültesi,2
2.67/4,2
 Bachelor's degree ,2
Bilgisayar Mühendisliği Fakültesi Mezunu,2
Linguistics,2
Elektrik ve elektoronik teknisyen,2
Teknik eğitim Fakültesi,2
Bilgisayar Programcısı(Tekniker),2
Second University,2
Bilgisayar Programcılığı Mezun,2
M.Sc. E.E.,2
Bachelor of Computer Engineer,2
Filolog,2
Certificate of English Proficiency,2
(%100 Scholarship),2
Former Education,2
certification programme,2
Dachelor's Degree,2
Fen Bilimleri Bölümü,2
Bachelor of Science (B.S.) - Top Scoring Student ,2
B.Sc.E.E.,2
93.3,2
Vocational School of Higher Education,2
Bachelor of Science - BE,2
HIGH SCHOOL DIPLOMA,2
BACHELOR’S DEGREE,2
High School Graduates,2
2.49,2
Yazılım (.NET) Sertifikasyon Programı,2
Mersin Meslek Yüksek Okulu,2
"4,85",2
Mandarin Training Center,2
"4,99",2
2.7 / 4,2
LİSANS ,2
4.95/5,2
Post Grauduate Study,2
"2,38",2
(Yüksek Lisans),2
Computer Technology and Programming Department,2
"3,04",2
onlisana,2
Secondary Field,2
No Degree,2
"2,30",2
Honor Student - 3.20 / 4.00,2
High Honor Student - 3.60/4.00,2
Graduation,2
Bachelor of Sciences - BS,2
Meslek Yüksek Okul,2
Bachelor's of Engineering,2
Undergraduated at School of English Language,2
"Master's Degree , Plasma Physics",2
Advanced Certificated,2
"2,9",2
Master of Science / Yüksek Lisans,2
Master of Business Administration - MBA ,2
exchange program,2
"Bachelor of Science - BS, Computer Technologies and Information Systems",2
lise mezunu,2
Baccalaureate,2
mühendislik fakültesi mezunu,2
M.F.A,2
Dipiloma,2
Executive mini MBA,2
Motor bölümü,2
3.67 / 4.00,2
3.97 / 4.00,2
92.53/100,2
"3,92/4,00",2
"3,76",2
86.9,2
23,2
2.77/4.00,2
Drop out,2
Jean Monnet Summer Module,2
B.S. Cum Laude,2
"3.02/4, Bachelor’s Degree",2
75.00,2
Associate of Arts and Sciences - AAS,2
4.74/5.00,2
Master of Business Administration (M.B.A.) - English Program with Thesis,2
Honored student 2011-2012 GPA : 2.79,2
Okul birincisi,2
Master of Fine Arts (M.F.A.),2
Bachelor of Fine Arts (B.F.A.),2
Ph. D. -  Left at 4th semester,2
BSc. Honours,2
Minor Program Certificate,2
O Levels,2
Bachelor of Engineering (Eng.),2
Highschool Degree,2
Konya MYO,2
Dual Diploma; Bachelor of Science,2
Bachelor of Science - BS (Dual Diploma Program),2
Yüksek Lisans - Master of Science (MSc),2
Okul İkinciliği,2
Bachelor's degree (Bsc),2
"MSc, Information Systems",2
Rotary Exchange Student,2
4.76,2
2.59,2
Académie de Lille,2
Faculty of Business AdministrationMaster,2
Master Degree ,2
Bacheor's Degree,2
MS degree,2
mühendislik mimarlik fakültesi oğrencisi,2
3.041/4.0,2
Master's degree in B.A.U. University,2
Computer Science and Engineering Master Program,2
Bs.,2
"4,66 / 5",2
"3,2 / 4",2
Yabancı Dil Okulu,2
Computer Science and Engineering Program,2
"4,20",2
Veterinary Education,2
"4,30",2
Bachelor of Science(B.Sc),2
Erasmus Mobility Programme,2
Science graduate,2
4.94 / 5.00,2
"Master of Business Administration - MBA, Executive MBA",2
Full-stack Software Development,2
"2,76",2
Microsoft Software and Database Specialist,2
"84,77",2
Ilgın Myo,2
 Aassociate Degree,2
Selçuk Üniversitesi,2
Maths and Science (MS),2
"4,73",2
Bachelor's degree Student,2
ön lisana,2
İngilizce Kursu,2
"4,33/5",2
Akyazi Meslek Yuksek Okulu,2
12th Grade,2
50,2
Mimarlık,2
Ağ İşletmenliği,2
Fen Bilimleri Enstitüsü (Yüksek Lisans),2
"3,90/4,00",2
"3,09",2
"3,9/4,00",2
"3,87",2
Endüstri Mühendisliği Mezunu,2
86.91,2
Devam ediyor,2
İŞLETME FAKÜLTESİ,2
English preparatory,2
FACULTY OF ENGINEERING,2
ELEKTRONİK VE HABERLEŞME MÜHENDİSİ,2
Başkent Üniversitesi,2
3.60/4.0,2
"78,66",2
M.Y.O,2
"Master's degree, Sustinable Growth and Quality Management",2
teknik bilimler meslek yüksekokulu,2
Çanakkale Onsekiz Mart Üniversitesi,2
"88,98/100",2
BS.,2
Faculty of Business Administration,2
100/76.4,2
Becholar Degree,2
Güzel Sanatlar Fakültesi Mezunu,2
Science Diploma,2
Yazılım Mezunu,2
Faculty of  Engineering and Architecture,2
Oberstufe Deutsch Zertifikat,2
Mimarlık Fakültesi Mezunu,2
lisa,2
with First Class Honors,2
Minors Degree,2
Bachelor of Engineering(Minor Program),2
Master’s degree,2
Toefl Ibt,2
pazarlama,2
Anatolian Tecnical,2
"BS, Computer Science and Engineering",2
Public Administration,2
Doctor of Philosophy(PhD),2
"2,76/4,00",2
Meslek Yüksek Okul Bilgisayar Programcılığı,2
 Bachelor's Degree,2
MS in Electronics Engineering & Computer Science,2
2.69/4.00,2
DGS başarı sırası: 1642,2
Not Completed,2
Haydarpasa Technical High School,2
Turquality Executive Development Program,2
Certificate of Achievement,2
4.11,2
MA in Economics and Finance,2
Horizontal Transfer,2
"4,86/5",2
"2,36/4",2
MA in Global Affairs,2
College Degree,2
Doctor of Philosophy (Ph. D.),2
High School - College,2
Mühendislik ve Mimarlık fakültesi mezunu.,2
4.25,2
3.15/4.00,2
Bachelor of Science and Engineering,2
Primary School Diploma,2
İşletme fakültesi,2
High Honor Student,2
"2,99 / 4,00",2
"%100 YÖK Bursu,Teknik Bilimler Fakültesi",2
MS.,2
Vocational School Graduate,2
2.04,2
Undergraduate(Erasmus),2
Elektronik Mühendisi,2
3.17 / 4,2
Lisansüstü,2
Responsive Web Design Certification,2
greduated,2
süper lise,2
Game Development Technologies,2
HIGH SCHOOL,2
"3,42 / 4,00",2
98,2
Nuclear Medicine Technologist,2
Ön Lİsans,2
İktisadi ve İdari Birimler,2
Bachelor of Computer and Information Sciences,2
"Yüksek Lisans (Master), Bilgisayar Mühendisliği",2
"3,80 / 4,00",2
Software Development Diploma,2
Combined Master and PhD,2
Wissen Akademi- Sertifikalı Eğitim,2
Master of MIS,2
Lise Öğrenimi,2
82.6,2
AÇIKÖĞRETİM FAKÜLTESİ - ÖNLİSANS,2
I have successfully completed 3 weeks of their course and therefore awarded it certificate.,2
System And Network Specialist,2
Certificate of Quantum Excellence,2
Android Development Nanodegree,2
Görsel İletişim Tasarımı,2
2.79/4,2
Teknik Bilimler Meslek Yüksek Okulu(Avcılar),2
Elektronic Technician,2
Master's Degree (Non-Thesis),2
Baschelor Degree,2
Veri Tabanı,2
Bachelor's degree (Erasmus),2
3.30/4,2
Full Stack Web Developer,2
Changed School,2
Bilgisayar ve Teknolojileri Bölümü,2
English Language Course,2
İktisad Fakültesi,2
Anadolu Bil Meslek Yüksekokulu,2
"Teknik Eğitim Fakültesi, Bilgisayar ve Kontrol Öğretmenliği",2
Master's Degree in Economics (MEcon),2
Science Teacher,2
"70,75",2
Honour Student-First rank,2
Gemi Makineleri İşletme Mühendisi,2
70.22,2
Upper Intermediate Degree,2
uluslararası ilişkiler,2
School of Business Administration,2
"74,29",2
3.95 / 5,2
İşletme Fakültesi Terk,2
Bilgisayar Proğramcılığı,2
 Master's degree ,2
3.90,2
B.S. (Honor Degree),2
Mühendislik- Mimarlık Fakültesi Mezunu,2
Mühendislik Fakültesinde Öğrenci,2
Doctor of Philosophy (PhD) Student ,2
Sürekli eğitim merkezi,2
Sayısal Bölüm,2
turizm ve otelcilik,2
yüksek onur belgesi ile mezun olmuştur.,2
"Bachelor's degree, Dropout",2
Üstün Başarı 100 üzerinden 98 ortalama,2
internship,2
MATRICULATION,2
3.29,2
Kocaeli üniversitesi,2
Geliştirici ,2
BSCS(HONOURS),2
3.64,2
2.68/4,2
Social Engineer Bogazici University Lifelong Learning Center,2
Minor program,2
Bachelor's degree(Open Education Faculty),2
IB Diploma,2
Not graduate,2
Computer And Instructional Technology Education,2
MBA 3.8,2
"2,93",2
Lisence,2
EĞİTİM FAKÜLTESİ MEZUNU,2
"86,33 / 100,00",2
Summer Academy,2
"3,20/4",2
"3,92/4",2
YUKSEK LISANS,2
LISANS,2
Faculty of Engineering and Computer Sciences,2
A.Sc.,2
B.P.A.,2
A.A.,2
M. Sc. Degree,2
Teknik Bilimler Meslek Yüksek Okuku,2
Licentiate,2
Bachelor's degree (Erasmus+ Program),2
"3,65 / 5",2
O/A Levels,2
"3,17 / 4",2
B.Eng.,2
Bilgisayar  Öğretim ve Teknolojileri Öğretmenliği,2
8.,2
4.98/5.00,2
3.72/4.00,2
Software Engineering Immersive,2
  3.50,2
Pre-License,2
GPA 3.23 / 4 (3rd highest rank),2
4.81,2
"Mühendislik Fakültesi, Elektronik ve Haberleşme Mühendisliği Kocaeli Üniversitesi",2
(MBA)-Marketing,2
İktisat Fakütesi,2
BS Computer Science,2
4.34,2
B. S. Degree,2
Doctor of Philosophy (Ph.D.) (not completed),2
PLD22,2
"Yüksek Lisans (Master), İngilizce",2
"Lisans Derecesi, İngilizce",2
Doctor of Philosophy (PhDc),2
Kamu Yönetimi ,2
iktisadi ve idari bilimler,2
GPA: 3.16 ( Based on 4.0 scale),2
"High School Diploma, 85/100",2
International Computer Institute,2
GPA: 3.46,2
DOKTORA,2
AI Programming with Python,2
Sosyal Birimler Fakültesi,2
yüksek lisans,2
University Degree,2
PhD in Computer Engineering 3.86/4.00,2
Master of Business Administration (MBA) - English,2
"4,83 / 5",2
MSc in Computer Engineering 3.79/4.00,2
BSc in Computer Engineering 3.66/4.00,2
Summer School/ English,2
high school graduate,2
"3,41 / 4",2
Önlisans (Vocational Higher School),2
96/100,2
92.86,2
Lisans Tamamlama,2
Exchange Student (Erasmus+),2
Bilgisayar Teknisyeni,2
LISE,2
Undergraduate Exchange Student,2
Intermediate degree English Course Certificate,2
Elektronik ve Haberleşme Mühendisi,2
"4,90",2
Otomatik Kumanada,2
Faculty of Economics Graduate,2
Programlama Mezunu,2
Master of Arts and Social Sciences,2
Süper Lise Mezunu,2
Teknik Eğitim Bilimler Fakültesi,2
Executive MBA Management of Bussiness Administration,2
Researcher,2
4.82,2
"Master of Business Administration - MBA, Global Competitive Strategy",2
International Computer Institute (MSc.),2
Electrical and Electronics Engineering (BSc.),2
Beykent University - Masters Degree -Engineering and Technology Management,2
Doctor of Philosophy Canditate- PhDc,2
Bachelor’s Degree - Erasmus+,2
High  school ,2
Preparation Year,2
Aircraft Maintenance and Electronics Engineering,2
Minor Programme,2
Anadolu Öğretmen Lisesi Mezunu,2
High school degree,2
"3,30 / 4",2
İlk Okul - Lise,1
MSc in Computer Science,1
Bilgi Teknolojileri Bölümü,1
Dış Ticaret Uzmani,1
BS-4 years,1
Fen fakültesi,1
Exchange student program,1
Leadership,1
Gıda Mühendisliği Bölüm Birincisi,1
Student ,1
"3,38 M.S.",1
2009 mezunu,1
Graduation grade,1
Education Achievement Certificate,1
"BTS, Technologic Academic Studies Degree",1
Second university ,1
4.51,1
AWS-DevOps Bootcamp,1
Mathematics and science,1
Yüksekokul ,1
BACHELOR,1
Ziraat Fakultesi/ Bahce Bitkiler Bolumu,1
"72,28/100",1
Doctor of Philosophy - PhD (Cont'd),1
Bachelor of Electric Electronic Engineering,1
İKTİSAT FAKÜLTESİ,1
4 Years,1
Preparation Achived,1
Agriculture Economy,1
Çift Diploma,1
100% Scholarship Bachelor's degree,1
Erasmus+ Student PhD,1
"4,00/5",1
Bertelsmann Scholarship - Introduction to AI in Business,1
Bachelor of Pharmacy (B.Pharm.),1
Açıköğretim Fakültesi Adalet İkinci Sınıf,1
Bilgisayar Teknolojileri Ve Programlama Mezunu,1
High School's Degree,1
Örgün Öğretim Üçüncü Sınıf,1
Summer Internship,1
bechelor's of Computer Science Engineering,1
Achievement Certificate,1
React Nanodegree,1
Bilgisayar Bilimleri Ağırlıklı Matematik,1
Preparatory Class,1
3.10/4,1
Dondur,1
Degree in Computer,1
Information Technologies Certificate Program / Bootcamp,1
iOS Developer Nanodegree Program,1
Bilgisayar Mühendisliği (ingilizce),1
75.22,1
computer sicence engineering,1
Graduates,1
965 / 1000,1
Faculty Of Siences,1
e-MBA,1
pre school education,1
Bachelor of Science (BSc) ( Transferred to Middle East Technical University after 1st year),1
Masters degree,1
"3,5 / 5",1
EGE MESLEK YÜKSEK OKULU,1
Teknloji Fakültesi,1
Eğitim Fakultesi,1
4.1,1
Foreign Trade Expert,1
Industrial Automation ,1
"2,25",1
Bachelor's degree Minor Program,1
Italiano A2.1,1
Electronic Engineer,1
MEZUN,1
Master of Electric Electronic Engineering,1
Çift Anadal Lisans Derecesi,1
Italiano A2,1
General High School Education,1
Bachekor of Mathematic,1
PEKİYİ,1
CS50,1
Bölüm 2.Liği,1
"Diploma notu: 84.72  ,  bölüm 4.’sü",1
B.Ö.T.E,1
Seydişehir Lisesi,1
Fen Fakültesi - Matematik/Bilgisayar,1
Technical College,1
Facoltà di Ingegneria,1
Chemistry,1
"4,89/5.00",1
Computer Science Academic Program,1
3.24/4,1
CGPA: 3.13 / 4.00 (Honour Degree),1
Master of Science (MSc) - Non Thesis,1
Elektronik ve Haberleşme Mühendisliği mezunu,1
3.12/4.00,1
"Diploma notu: 3.49 = 88.68  ,  bölüm 2.’si",1
"4-3,34",1
Professional Technician in Teleinformatics,1
Uluslararası Bilgisayar Enstitüsü Yüksek lisans Programı,1
IWE( International Welding Engineering) Programme,1
fen fakültesi,1
4.50,1
GNO 3.11,1
"85,03/100",1
Ustalık Sertifikası,1
fizik öğretmenliği 3.sınıf (terk),1
ERASMUS (2013),1
Erasmus Exchenge Student,1
74.81,1
Ortaokul & Lise,1
Exchange Student Program,1
CERTIFICATE,1
BSc(Double Major),1
İBF,1
Fen lisesi mezunu,1
"79,52",1
International Exchange Student,1
Professional ,1
Bachelor Of Economics,1
Language Learner,1
DIPLOMA,1
Special Exchange,1
Diplome d'Etudes Approfondies (DEA),1
Master of Computer Science  - MSc,1
Gıda mühendisi,1
Turkish Diploma,1
Molecular Biology & Genetics,1
81.74 / 100.00,1
Makina Mühendisliği,1
"89,91 / 100",1
4th grade,1
Internationaler-Schweißfachingenieur EWE-IWE/It 110048A,1
Ögrenci,1
Edebiyat Fakültesi,1
Engineer (BS/MS),1
CEH (CERTIFIED ETHICAL HACKER),1
"Bachelor of Science - BS, Minor Degree",1
BULLC,1
Otomotiv,1
Doctor of Philosophy (MSc & PhD Integrated) ,1
ELEKTRONİK HABERLEŞME,1
ağaç işleri endüstri mühendisliği,1
Master's Certificate,1
3.91 / 4,1
Technical Computer College,1
TELEKOMÜNİKASYON,1
Meslek Yüksek Okulu (Uzaktan Eğitim),1
4.92(5 üzerinden),1
3.69 / 4,1
licence,1
computer engineering ,1
Bachelor of Science in Software Engineering (B.SE),1
15902,1
Sakarya University,1
3.25 / 4,1
Bachelor of Engineering ,1
Bilgisayar Ve Bilişim Fakültesi,1
Advance at General English,1
Bilgisayar Bölümü Mezunu,1
Drop Out - Doctor of Philosophy (PhD) ,1
"Lisans Derecesi, 3.57/4.00",1
Other; CORe Credential of Readiness,1
91.38/100,1
92.5,1
Lisans Derecesi / Bachelor Degree,1
Computer of Science,1
Lıse/Ortaokul/İlkokul,1
Bachelor of Science  (BSc),1
82.00/100,1
12.sınıf,1
High school ,1
Bilgisayar Mühendisi Mezunu,1
"BSc, Jeodesy and Photogrameteri",1
2.05,1
Lise son,1
Bilgisayar ve Bilişm Fakültesi,1
Bachelor's degree Exchange Student,1
Management İnformation Systems,1
Adapazarı Meslek Yüksekokulu,1
BCompSc,1
Lisans Derecesi: (TERK),1
Süper Lise,1
2015,1
Business Manager,1
Bilgi Sistem Kursu,1
Minor license,1
BsC.,1
Master Deg,1
Web/Multimedia Management and Webmaster,1
Mühendislik   Fakültesi,1
Okul Üçüncüsü,1
Tavşanlı  MYO,1
yuksek lisans,1
Okul Öncesi - Ilköğretim,1
Phd Study (All But Thesis),1
Ilköğretim,1
information systems,1
"2,43",1
International&European Welding Engineer,1
Bachelor's degree Erasmus+ Exchange Student,1
Integrated master degree,1
Bilgisayar ve Bilişim Bilimleri Fakultesi Mezunu,1
Not Graduated,1
3. lük ,1
Institute of Science and Technology,1
86.0/100,1
Sakarya üniversitesi,1
Secondary School Graduation,1
Bilgisayar Ve Bilişim Bilimleri Fakultesi,1
4 / 5,1
Combination of Master & Ph.D,1
3.05 / 4.00,1
"4. 3,43/4",1
Exchange Student - ERASMUS,1
MEKATRONİK,1
Bachelor of Pharmacy - BPharm,1
Bachelor of Science - BS (incomplete),1
70.000,1
93.31,1
20400,1
Karasu Meslek Yüksek Okulu,1
Fluent Speaker,1
Technical Sciences,1
devam ediyor,1
Bilişim ve Bilgisayar Mühendisi,1
"4,14",1
Biology,1
Bilişim Sistemleri Mühendisliği,1
Data Engineering Nanodegree,1
Engineering Management,1
Public Health (License),1
Training Formation Certificate,1
Master's degree - Computer Animation and Game Technologies,1
Bachelor's degree-Honour Student,1
Bachelor's of Commerce - Canada,1
Masters of Business Administration - MBA - Canada,1
Pyhsical Sciences,1
Bachelor of Science (BSc) - Computer Engineering,1
2.75/4.00,1
Halen Öğrenci,1
BS in Computer Science and Engineering,1
Erasmus exchange degree,1
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,1
Bachelor of Mathematics,1
Elektronic and Computer Teacher,1
 C1 Level Certificate,1
hazırlık sınıfı,1
"M. Sc, Mechanical Engineering",1
"B. Sc, Mechanical Engineering",1
AB,1
Elektrik- Elektronik  Fakültesi,1
Computer Engineering ( Graduated),1
Mathematical Engineering (Double Major),1
Bachelor of Economics,1
Bachelo's Degree,1
Bachelor's degree of computer engineering,1
İnşaat fakültesi mezunu,1
---,1
"4,11 / 5",1
"4,7/5,0",1
"4,43/5,00",1
Hacettepe Universitesi,1
A grade,1
B.Sc. in Computer Engineering,1
"4,64",1
90.5/100,1
2.94/4.00,1
Doctor of Education - EdD,1
Adalet Yüksekokulu Mezunu,1
2.78 ,1
Fen alan mezunu,1
Web Develooper,1
3rd grade ,1
Freshman year of Bachelor of Science - BS,1
2nd degree in High School,1
2.21/4,1
2.8/5,1
4th grade of the university.,1
Ticari bilimler Fakültesi,1
Yönetim Bilişim Sistemleri,1
Anadolu Meslek,1
"MD, Left",1
Certification ,1
Hacettepe Üniversitesi,1
84500,1
Bachelor of Science - 2.73,1
2.54/4,1
Minor Program Degree,1
82.51,1
Master of Science (MSc) with Thesis,1
"2,88",1
"30% English, Baccalaureate",1
"2,41",1
Geography,1
Electric and Electronics Engineering,1
62.2 / 100,1
TERK,1
Fen Edebiyat- Fizik,1
Fen-Edebiyat Fakültesi (Mezun),1
Senior Enlisted Academy,1
Ön Lisans/Associate Degree,1
(Bachelor of Laws (LLB,1
4.98 / 5,1
Adapazarı Meskek Yüksek Okulu,1
Bilgisayar ve Bilişim Fakültesi Bilgisayar Mühendisliği Mezunu,1
TEKNOLOJİ FAKÜLTESİ,1
Bilgisayar ve Öğretim Teknolojileri Eğitmenliği,1
"99,4",1
Computer and information science faculty,1
"97,68/100",1
turizm otelcilik,1
"86,75",1
MCITP,1
Bsc. EEE  (Honor Roll Student Certificate),1
Ön Lisans (Associate Degree),1
 Meslek Lise,1
Lisans Derecesi (Bachelor),1
Bachelor's degree in Enginnering,1
"3,76/4",1
Master of Science - MS (with thesis) ,1
Bölüm Birincisi ve Okul İkincisi,1
Bilgisayar ve Bilişim Bilimleri Fakültesi ,1
Master's without thesis,1
Diploma of Business,1
"2,56",1
Msc. EEE,1
Certificated Education,1
sakarya üniversitesi,1
Bilgi yönetimi,1
Denizcilik Fakültesi,1
Bilgisayar-Enformatik mezunu,1
 Preparatory Class,1
İkinci üniversite,1
School of Economics,1
PhD Electrical and Electronic Engineering,1
